,item_img,item_price,trade_date
0,trade_images\20221122_0.jpeg,190000,20221122
1,trade_images\20221122_1.jpeg,190000,20221122
2,trade_images\20221122_11.jpeg,266000,20221122
3,trade_images\20221122_23.jpeg,150000,20221122
4,trade_images\20221122_24.jpeg,370000,20221122
5,trade_images\20221122_30.jpeg,200000,20221122
6,trade_images\20221122_38.jpeg,110000,20221122
7,trade_images\20221122_39.jpeg,430000,20221122
8,trade_images\20221122_42.jpeg,200000,20221122
9,trade_images\20221122_46.jpeg,300000,20221122
10,trade_images\20221122_51.jpeg,170000,20221122
11,trade_images\20221122_62.jpeg,480000,20221122
12,trade_images\20221122_63.jpeg,950000,20221122
13,trade_images\20221122_66.jpeg,150000,20221122
14,trade_images\20221122_69.jpeg,250000,20221122
15,trade_images\20221122_75.jpeg,130000,20221122
16,trade_images\20221122_76.jpeg,150000,20221122
17,trade_images\20221122_77.jpeg,170000,20221122
18,trade_images\20221122_79.jpeg,400000,20221122
19,trade_images\20221122_89.jpeg,200000,20221122
20,trade_images\20221122_95.jpeg,110000,20221122
21,trade_images\20221122_101.jpeg,150000,20221122
22,trade_images\20221122_105.jpeg,230000,20221122
23,trade_images\20221122_108.jpeg,200000,20221122
24,trade_images\20221122_112.jpeg,150000,20221122
25,trade_images\20221122_114.jpeg,195000,20221122
26,trade_images\20221122_118.jpeg,130000,20221122
27,trade_images\20221122_120.jpeg,130000,20221122
28,trade_images\20221122_121.jpeg,130000,20221122
29,trade_images\20221122_130.jpeg,120000,20221122
30,trade_images\20221122_132.jpeg,110000,20221122
31,trade_images\20221122_139.jpeg,250000,20221122
32,trade_images\20221122_140.jpeg,170000,20221122
33,trade_images\20221122_141.jpeg,400000,20221122
34,trade_images\20221122_143.jpeg,140000,20221122
35,trade_images\20221122_145.jpeg,150000,20221122
36,trade_images\20221122_149.jpeg,150000,20221122
37,trade_images\20221122_150.jpeg,150000,20221122
38,trade_images\20221122_151.jpeg,180000,20221122
39,trade_images\20221122_152.jpeg,200000,20221122
40,trade_images\20221122_162.jpeg,195000,20221122
41,trade_images\20221122_165.jpeg,520000,20221122
42,trade_images\20221122_169.jpeg,320000,20221122
43,trade_images\20221122_175.jpeg,160000,20221122
44,trade_images\20221122_178.jpeg,220000,20221122
45,trade_images\20221122_180.jpeg,210000,20221122
46,trade_images\20221122_182.jpeg,200000,20221122
47,trade_images\20221122_183.jpeg,150000,20221122
48,trade_images\20221122_186.jpeg,200000,20221122
49,trade_images\20221122_200.jpeg,220000,20221122
50,trade_images\20221122_203.jpeg,220000,20221122
51,trade_images\20221122_206.jpeg,160000,20221122
52,trade_images\20221122_209.jpeg,340000,20221122
53,trade_images\20221122_3218.jpeg,120000,20221122
54,trade_images\20221122_218.jpeg,120000,20221122
55,trade_images\20221122_220.jpeg,120000,20221122
56,trade_images\20221122_225.jpeg,140000,20221122
57,trade_images\20221122_228.jpeg,140000,20221122
58,trade_images\20221122_229.jpeg,130000,20221122
59,trade_images\20221122_231.jpeg,450000,20221122
60,trade_images\20221122_235.jpeg,190000,20221122
61,trade_images\20221122_240.jpeg,140000,20221122
62,trade_images\20221122_250.jpeg,760000,20221122
63,trade_images\20221122_251.jpeg,450000,20221122
64,trade_images\20221122_252.jpeg,300000,20221122
65,trade_images\20221122_258.jpeg,150000,20221122
66,trade_images\20221122_260.jpeg,900000,20221122
67,trade_images\20221122_263.jpeg,320000,20221122
68,trade_images\20221122_265.jpeg,700000,20221122
69,trade_images\20221122_266.jpeg,250000,20221122
70,trade_images\20221122_267.jpeg,250000,20221122
71,trade_images\20221122_278.jpeg,500000,20221122
72,trade_images\20221122_281.jpeg,400000,20221122
73,trade_images\20221122_282.jpeg,150000,20221122
74,trade_images\20221122_295.jpeg,600000,20221122
75,trade_images\20221122_296.jpeg,250000,20221122
76,trade_images\20221122_300.jpeg,145000,20221122
77,trade_images\20221122_304.jpeg,1000000,20221122
78,trade_images\20221122_305.jpeg,110000,20221122
79,trade_images\20221122_319.jpeg,600000,20221122
80,trade_images\20221122_333.jpeg,550000,20221122
81,trade_images\20221122_338.jpeg,760000,20221122
82,trade_images\20221122_344.jpeg,150000,20221122
83,trade_images\20221122_345.jpeg,270000,20221122
84,trade_images\20221122_346.jpeg,200000,20221122
85,trade_images\20221122_347.jpeg,300000,20221122
86,trade_images\20221122_348.jpeg,300000,20221122
87,trade_images\20221122_349.jpeg,1000000,20221122
88,trade_images\20221122_350.jpeg,180000,20221122
89,trade_images\20221122_351.jpeg,200000,20221122
90,trade_images\20221122_354.jpeg,750000,20221122
91,trade_images\20221122_356.jpeg,200000,20221122
92,trade_images\20221122_357.jpeg,150000,20221122
93,trade_images\20221122_359.jpeg,400000,20221122
94,trade_images\20221122_360.jpeg,390000,20221122
95,trade_images\20221122_362.jpeg,280000,20221122
96,trade_images\20221122_363.jpeg,170000,20221122
97,trade_images\20221122_364.jpeg,130000,20221122
98,trade_images\20221122_366.jpeg,180000,20221122
99,trade_images\20221122_367.jpeg,150000,20221122
100,trade_images\20221122_369.jpeg,180000,20221122
101,trade_images\20221122_371.jpeg,180000,20221122
102,trade_images\20221122_372.jpeg,150000,20221122
103,trade_images\20221122_373.jpeg,250000,20221122
104,trade_images\20221122_386.jpeg,170000,20221122
105,trade_images\20221122_387.jpeg,230000,20221122
106,trade_images\20221122_388.jpeg,150000,20221122
107,trade_images\20221122_389.jpeg,150000,20221122
